Logged At,Account Status Type,Identity,Endpoint ID,Endpoint IP Address,Account Authentication,Account TerminateCause,Account Session ID,Audit Session ID,Account Session Time,Network Device Name,Network Device IP,Device Port,Server
39:10.5,Stop,vahrp,10:4A:7D:C2:D7:06,10.1.132.79,RADIUS,User Request,8FC00A1B,0a01800a00b430005a784fbf,28971,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
38:13.3,Stop,blevintb,E8:B1:FC:4B:5A:00,10.1.130.126,RADIUS,Idle Timeout,8FC00C78,0a01800a00e0e0005a78b8a4,2062,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
37:59.5,Start,buchanba,C4:D9:87:49:6F:0B,10.1.129.220,RADIUS,,8FC00C94,0a01800a00e2a0005a78c082,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
37:49.8,Stop,permant,10:4A:7D:BC:E0:26,10.1.129.163,RADIUS,User Request,8FC00A3C,0a01800a00b670005a78520f,28297,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
37:31.9,Stop,carrrw,C4:D9:87:5F:6A:6D,10.1.129.47,RADIUS,User Request,8FC00C03,0a01800a00d810005a78866d,14873,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
37:27.1,Start,Wesoloc,F4:8C:50:81:2C:2A,10.1.131.113,RADIUS,,8FC00C93,0a01800a00e2b0005a78c083,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
37:27.0,Start,Prattk,24:77:03:D7:B0:4C,10.1.131.112,RADIUS,,8FC00C92,0a01800a00e2c0005a78c084,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
37:14.0,Stop,moraleme,10:4A:7D:C3:0E:0B,10.1.131.89,RADIUS,User Request,8FC00C43,0a01800a00dce0005a789c2d,9285,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
37:08.1,Start,petrydj,AC:FD:CE:4C:06:53,10.1.130.50,RADIUS,,8FC00C91,0a01800a00e290005a78c070,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
36:43.3,Stop,connelms,1C:4D:70:40:EF:20,10.1.130.31,RADIUS,Idle Timeout,8FC00BFB,0a01800a00d770005a788509,15180,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
36:30.3,Start,cruzj,6C:88:14:1A:35:C4,10.1.131.111,RADIUS,,8FC00C90,0a01800a00e280005a78c049,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
36:14.6,Start,gableja,C4:D9:87:17:8F:5E,10.1.131.110,RADIUS,,8FC00C8F,0a01800a00e270005a78c038,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
36:09.3,Start,samuelrl,C4:D9:87:F6:91:B3,10.1.131.109,RADIUS,,8FC00C8E,0a01800a00e260005a78c02c,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
35:53.6,Start,lowderrp,90:2E:1C:94:93:1E,10.1.131.108,RADIUS,,8FC00C8D,0a01800a00e250005a78c025,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
35:49.3,Stop,boevinep,90:2E:1C:20:41:49,10.1.130.211,RADIUS,User Request,8FC00B73,0a01800a00cdb0005a7868f3,22318,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
35:42.7,Stop,arvinwp,4C:EB:42:AD:FA:A7,10.1.129.177,RADIUS,User Request,8FC00A4B,0a01800a00b7c0005a78536d,27820,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
35:21.0,Stop,nungesga,84:3A:4B:01:59:F0,10.1.130.48,RADIUS,User Request,8FC00A4A,0a01800a00b7b0005a7852ff,27908,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
35:16.0,Stop,skrabajh,90:2E:1C:20:41:3A,10.1.130.4,RADIUS,User Request,8FC00BE2,0a01800a00d5b0005a787d41,17086,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
35:02.4,Start,srivelk,C4:D9:87:44:2D:39,10.1.129.106,RADIUS,,8FC00C8C,0a01800a00e240005a78bff3,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
34:43.3,Stop,srivelk,C4:D9:87:44:2D:39,10.1.129.105,RADIUS,Session Timeout,8FC0086A,0a01800a009420005a761cbe,172834,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
34:23.9,Stop,lowryka,90:2E:1C:8F:02:AA,10.1.128.206,RADIUS,User Request,8FC00A76,0a01800a00bb00005a78562b,27041,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
34:02.3,Stop,zurbripw,90:2E:1C:94:74:F1,10.1.129.9,RADIUS,User Request,8FC00BA6,0a01800a00d130005a78705a,20316,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
33:23.5,Stop,stephege,10:4A:7D:C2:6F:CD,10.1.130.22,RADIUS,User Request,8FC00A51,0a01800a00b850005a7853d3,27579,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
33:09.7,Stop,edwardjc,90:2E:1C:8F:02:1E,10.1.129.184,RADIUS,User Request,8FC00A6A,0a01800a00ba40005a7855c3,27072,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
32:28.0,Stop,cronelm,F0:42:1C:7F:EB:B7,10.1.130.29,RADIUS,User Request,8FC00BF8,0a01800a00d730005a78832c,15403,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
32:16.8,Stop,staffojr,CC:3D:82:23:41:F5,10.1.131.82,RADIUS,User Request,8FC00C32,0a01800a00db80005a7894c7,10805,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
31:52.7,Stop,harrisms,90:2E:1C:8F:01:74,10.1.129.186,RADIUS,User Request,8FC00A91,0a01800a00bcf0005a785798,26525,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
31:50.7,Stop,joneswi,8C:70:5A:6C:97:D0,10.1.132.120,RADIUS,User Request,8FC00B9B,0a01800a00d070005a786edf,20563,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
30:54.0,Stop,yuraitj,C4:D9:87:F4:B0:9B,10.1.131.11,RADIUS,User Request,8FC009C4,0a01800a00ae00005a77cae8,62482,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
30:46.3,Stop,boored,20:47:47:E2:78:97,10.1.131.102,RADIUS,User Request,8FC00C7A,0a01800a00e100005a78b8de,1556,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
30:43.3,Stop,kesamss,3C:A9:F4:0F:3A:48,10.1.129.60,RADIUS,Idle Timeout,8FC00C51,0a01800a00ddc0005a78a11e,7631,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
30:39.2,Stop,elderde,F0:42:1C:B5:55:B3,10.1.130.170,RADIUS,User Request,8FC00AFE,0a01800a00c590005a785ddb,24848,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
29:55.9,Stop,cummincr,10:4A:7D:C2:71:53,10.1.129.130,RADIUS,User Request,8FC009E8,0a01800a00b0a0005a784356,31594,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
29:39.4,Stop,doriondt,90:2E:1C:75:51:F2,10.1.130.8,RADIUS,User Request,8FC00BEA,0a01800a00d640005a787f5a,16213,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
29:37.5,Stop,davisj5,7C:5C:F8:C2:D4:77,10.1.132.141,RADIUS,User Request,8FC00C3A,0a01800a00dc10005a7899ee,9408,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
29:35.8,Stop,foors,F0:42:1C:26:8D:47,10.1.130.163,RADIUS,User Request,8FC00A05,0a01800a00b290005a784bc4,29400,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
29:25.8,Stop,EBBINGDG,C4:D9:87:77:6E:5B,10.1.132.99,RADIUS,User Request,8FC00B3A,0a01800a00c990005a786166,23868,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
29:07.4,Stop,munsonbj,F0:42:1C:7F:EB:D0,10.1.129.167,RADIUS,User Request,8FC00A40,0a01800a00b6e0005a785271,27680,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
27:13.3,Stop,lawsonlc,AC:ED:5C:78:8D:95,10.1.130.191,RADIUS,Idle Timeout,8FC00B0D,0a01800a00c670005a785e30,24538,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
25:30.9,Stop,greenja,C4:D9:87:48:D0:87,10.1.131.104,RADIUS,User Request,8FC00C7C,0a01800a00e120005a78b8fe,1201,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
25:20.2,Start,raybe,CC:3D:82:BA:00:0E,10.1.129.68,RADIUS,,8FC00C8B,0a01800a00e230005a78bdab,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
25:16.8,Stop,edwardj,C4:D9:87:5F:0F:6E,10.1.128.205,RADIUS,User Request,8FC00A75,0a01800a00baf0005a785626,26498,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
25:03.0,Stop,pagetr,C4:D9:87:37:36:0B,10.1.130.109,RADIUS,User Request,8FC00AA4,0a01800a00be80005a785893,25864,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
24:52.4,Start,rower,34:E6:D7:3E:9F:0F,10.1.130.91,RADIUS,,8FC00C8A,0a01800a00e200005a78bd71,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
24:46.3,Start,reinersd,80:00:0B:C1:9B:2A,10.1.130.90,RADIUS,,8FC00C89,0a01800a00e220005a78bd8c,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
24:39.9,Start,corsonmj,44:39:C4:59:A3:6A,10.1.130.89,RADIUS,,8FC00C88,0a01800a00e210005a78bd84,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
24:25.4,Stop,engallk,90:2E:1C:8F:02:55,10.1.129.165,RADIUS,User Request,8FC00A3E,0a01800a00b6b0005a785262,27411,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
24:25.4,Stop,engallk,90:2E:1C:8F:02:55,10.1.129.165,RADIUS,User Request,8FC00A3E,0a01800a00b6b0005a785262,27411,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
24:02.9,Stop,sciullbg,F0:42:1C:B4:6A:95,10.1.129.168,RADIUS,User Request,8FC00A41,0a01800a00b6f0005a785273,27373,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
23:21.0,Start,connct,A4:C4:94:79:5B:AD,10.1.132.151,RADIUS,,8FC00C87,0a01800a00e1e0005a78bd31,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
23:18.2,Start,perryjf,C4:D9:87:49:69:61,10.1.132.150,RADIUS,,8FC00C86,0a01800a00e1f0005a78bd32,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
23:09.1,Stop,starksat,8C:C1:21:A1:30:02,10.1.132.131,RADIUS,User Request,8FC00BCE,0a01800a00d400005a7879fc,17197,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
23:01.7,Stop,davisbk,10:4A:7D:C3:19:41,10.1.128.197,RADIUS,User Request,8FC00A71,0a01800a00ba90005a7855fa,26389,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
22:43.4,Start,forcindj,14:AB:C5:73:9D:26,10.1.129.67,RADIUS,,8FC00C85,0a01800a00e1d0005a78bd0e,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
22:38.8,Start,gougercj,80:00:0B:9A:DB:1B,10.1.129.66,RADIUS,,8FC00C84,0a01800a00e1c0005a78bd0b,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
22:36.5,Start,eppsbt,6C:88:14:C8:2B:90,10.1.129.65,RADIUS,,8FC00C83,0a01800a00e1b0005a78bd08,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
21:13.3,Stop,parkerkd,F0:42:1C:B4:78:EB,10.1.129.49,RADIUS,Idle Timeout,8FC00C05,0a01800a00d840005a7886b3,13827,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
21:07.8,Stop,sibertcm,8C:C1:21:A0:AF:08,10.1.132.105,RADIUS,User Request,8FC00B4C,0a01800a00caa0005a786407,22693,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
21:03.1,Start,lewismd,10:02:B5:48:94:41,10.1.130.88,RADIUS,,8FC00C82,0a01800a00e1a0005a78bcab,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
21:00.0,Stop,lafebedd,60:67:20:DF:62:E4,10.1.129.232,RADIUS,User Request,8FC00AE4,0a01800a00c390005a785c0e,24729,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
20:49.7,Stop,shelgagl,F0:42:1C:26:AD:68,10.1.130.87,RADIUS,User Request,8FC00C76,0a01800a00e0c0005a78b828,1141,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
20:43.3,Stop,weinrila,18:5E:0F:C3:63:65,10.1.132.106,RADIUS,Idle Timeout,8FC00B4D,0a01800a00cac0005a786442,22612,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
20:26.1,Stop,EMMERTW,A8:13:74:3C:64:32,10.1.129.41,RADIUS,User Request,8FC00BFE,0a01800a00d7c0005a7885e0,13991,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
20:13.3,Stop,blevintb,E8:B1:FC:4B:5A:00,10.1.131.90,RADIUS,Idle Timeout,8FC00C44,0a01800a00dcf0005a789cfb,8064,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
20:12.9,Stop,boyerrj,10:4A:7D:A9:DA:30,10.1.130.224,RADIUS,User Request,8FC00B88,0a01800a00cf30005a786a79,20992,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
20:03.8,Start,geddesdj,90:61:AE:CA:4D:3D,10.1.129.64,RADIUS,,8FC00C81,0a01800a00e190005a78bc71,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
19:54.9,Start,eppsbt,6C:88:14:C8:2B:90,10.1.129.63,RADIUS,,8FC00C80,0a01800a00e180005a78bc66,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
19:13.2,Stop,henegakd,E4:B3:18:C2:89:A9,10.1.129.61,RADIUS,Idle Timeout,8FC00C53,0a01800a00dde0005a78a17f,6847,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
19:12.3,Stop,millersj,8C:C1:21:A0:B2:13,10.1.129.116,RADIUS,User Request,8FC00A98,0a01800a00bda0005a7857d6,25702,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
18:57.0,Stop,stuartrj,F0:42:1C:B5:2B:79,10.1.130.26,RADIUS,User Request,8FC00A55,0a01800a00b890005a785404,26664,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
18:51.3,Stop,hansfog,F0:42:1C:B4:23:73,10.1.131.37,RADIUS,User Request,8FC00A86,0a01800a00bc20005a78573e,25833,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
18:34.7,Stop,salasm,8C:C1:21:A1:33:78,10.1.131.107,RADIUS,User Request,8FC00C7F,0a01800a00e170005a78ba12,512,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
17:45.7,Stop,lewismd,10:02:B5:48:94:41,10.1.128.221,RADIUS,User Request,8FC00AA9,0a01800a00bed0005a785900,25318,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
17:26.1,Stop,derrybts,58:91:CF:17:D8:65,10.1.129.155,RADIUS,User Request,8FC00A34,0a01800a00b5c0005a7851ce,27139,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
17:19.9,Stop,Cravenwa,C4:D9:87:49:11:73,10.1.129.189,RADIUS,User Request,8FC00A94,0a01800a00bd50005a7857ab,25632,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
17:03.6,Stop,bashamb,84:3A:4B:01:73:D4,10.1.128.242,RADIUS,User Request,8FC00ABD,0a01800a00c030005a785980,25146,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
