Client User Name,Client Host,Client Host Groups,Server Host,Server Host Groups,Duration,Application,Service Summary,Total Traffic (bps),Total Bytes,Total Packets,Start Active Time,Client Bytes,Client Ratio (%),Server Bytes,First Client Port Seen,Server Port
,10.1.161.2,PA-HERSHEY-DTACTR,10.1.161.26,"McAfee Web Gateway, PA-HERSHEY-DTACTR",69 days 23 hours 48 minutes,tunnel,gre,6294132.753138076,188037216,754255,"Nov 29, 2017 4:21:21 PM",188037216,100,0,,
,10.1.74.98,"Security, PA-HERSHEY-DTACTR",10.1.70.30,"PA-HERSHEY-DTACTR, DB Servers",68 days 4 hours 54 minutes,SQL-server (unclassified),sql-server (1433/tcp),6196526.292887029,185121223,272003,"Dec 1, 2017 11:15:52 AM",25858991,13.9687,159262232,62523,1433
,10.1.69.153,PA-HERSHEY-DTACTR,10.1.70.202,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 32 minutes,Undefined TCP,Undefined TCP (30015/tcp),5918560.30125523,176816989,250311,"Dec 17, 2017 7:37:22 AM",37186617,21.0311,139630372,19304,30015
,10.1.69.157,PA-HERSHEY-DTACTR,10.1.70.202,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 32 minutes,Undefined TCP,Undefined TCP (30015/tcp),5853044.853556485,174859715,218376,"Dec 17, 2017 7:37:24 AM",30461276,17.4204,144398439,24989,30015
,10.1.100.18,PA-HERSHEY-DTACTR,10.1.163.23,"Internet DMZ, PA-HERSHEY-DTACTR",115 days 1 hour 52 minutes,HTTPS,https (443/tcp),5717685.188284519,170815845,113617,"Oct 15, 2017 3:17:59 PM",2356949,1.3798,168458896,58992,443
,10.1.69.142,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 37 minutes,Undefined TCP,Undefined TCP (30015/tcp),5645320.2008368205,168653941,289678,"Dec 17, 2017 7:32:13 AM",53855261,31.9324,114798680,54537,30015
,10.1.69.151,PA-HERSHEY-DTACTR,10.1.70.202,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 33 minutes,Undefined TCP,Undefined TCP (30015/tcp),5428878.89539749,162187757,206674,"Dec 17, 2017 7:36:15 AM",29383695,18.1171,132804062,26122,30015
,10.1.69.137,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 38 minutes,Undefined TCP,Undefined TCP (30015/tcp),5388777.439330544,160989726,255369,"Dec 17, 2017 7:31:22 AM",50204707,31.185,110785019,17689,30015
,10.1.69.162,PA-HERSHEY-DTACTR,10.1.70.202,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 32 minutes,Undefined TCP,Undefined TCP (30015/tcp),5033817.673640167,150385303,212255,"Dec 17, 2017 7:37:24 AM",33021804,21.9581,117363499,57967,30015
,10.1.69.161,PA-HERSHEY-DTACTR,10.1.70.202,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 32 minutes,Undefined TCP,Undefined TCP (30015/tcp),4731952.40167364,141367078,188925,"Dec 17, 2017 7:37:24 AM",28049230,19.8414,113317848,11665,30015
,10.1.69.132,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 40 minutes,Undefined TCP,Undefined TCP (30015/tcp),4688420.753138076,140066570,193567,"Dec 17, 2017 7:29:25 AM",23006655,16.4255,117059915,39399,30015
,10.1.100.31,PA-HERSHEY-DTACTR,10.1.70.58,"PA-HERSHEY-DTACTR, DB Servers",227 days 9 hours 23 minutes,SQL-server (unclassified),sql-server (1433/tcp),4686255.163179916,140001873,146604,"Jun 25, 2017 7:46:44 AM",26419516,18.8708,113582357,57192,1433
,10.1.69.156,PA-HERSHEY-DTACTR,10.1.70.202,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 32 minutes,Undefined TCP,Undefined TCP (30015/tcp),4168277.087866109,124527278,170999,"Dec 17, 2017 7:37:25 AM",26717979,21.4555,97809299,61083,30015
,10.1.74.70,"Security, PA-HERSHEY-DTACTR",10.6.74.11,PA-HERSHEY-NONPROD,279 days 6 hours 50 minutes,Undefined TCP,Undefined TCP (8305/tcp),4033108.820083682,120489126,131828,"May 4, 2017 10:19:23 AM",6196303,5.1426,114292823,39678,8305
,10.1.74.70,"Security, PA-HERSHEY-DTACTR",10.1.74.49,"Security, PA-HERSHEY-DTACTR",121 days 10 hours 50 minutes,Undefined TCP,Undefined TCP (8305/tcp),5408050.468571428,118301104,155240,"Oct 9, 2017 6:18:27 AM",11278536,9.5338,107022568,45637,8305
,10.1.70.37,"PA-HERSHEY-DTACTR, DB Servers",10.1.64.15,PA-HERSHEY-DTACTR,266 days 3 hours 25 minutes,SMB (unclassified),smb (445/tcp),3926702.8953974894,117310249,337414,"May 17, 2017 1:44:29 PM",36193908,30.8532,81116341,12362,445
,10.1.80.25,"PA-HERSHEY-DTACTR, PIN-DMZ",10.1.70.172,"PA-HERSHEY-DTACTR, DB Servers",263 days 14 hours 22 minutes,SQL-server (unclassified),sql-server (1433/tcp),3906866.8451882843,116717647,120290,"May 20, 2017 2:47:51 AM",11207908,9.6026,105509739,7277,1433
,10.1.64.40,PA-HERSHEY-DTACTR,10.1.70.10,"PA-HERSHEY-DTACTR, DB Servers",109 days 15 hours 38 minutes,SQL-server (unclassified),sql-server (1433/tcp),3827319.1631799163,114341160,258125,"Oct 21, 2017 1:31:14 AM",12567338,10.9911,101773822,50352,1433
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.68.52,PA-HERSHEY-NONPROD,124 days 16 hours 37 minutes,Undefined TCP,Undefined TCP (49154/tcp),3760594.1422594143,112347750,267476,"Oct 6, 2017 12:32:18 AM",2903419,2.5843,109444331,61191,49154
,10.1.69.158,PA-HERSHEY-DTACTR,10.1.70.202,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 32 minutes,Undefined TCP,Undefined TCP (30015/tcp),3597642.912133891,107479582,148854,"Dec 17, 2017 7:37:26 AM",24095482,22.4187,83384100,39902,30015
,10.1.69.163,PA-HERSHEY-DTACTR,10.1.70.202,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 32 minutes,Undefined TCP,Undefined TCP (30015/tcp),3516509.6569037656,105055726,147810,"Dec 17, 2017 7:37:26 AM",24824469,23.6298,80231257,32597,30015
,10.1.74.70,"Security, PA-HERSHEY-DTACTR",10.1.74.17,"Security, PA-HERSHEY-DTACTR",279 days 4 hours 5 minutes,Undefined TCP,Undefined TCP (8305/tcp),4427035.329729729,102375192,82578,"May 4, 2017 1:03:45 PM",2730731,2.6674,99644461,42391,8305
,10.1.66.59,PA-HERSHEY-DTACTR,10.1.70.172,"PA-HERSHEY-DTACTR, DB Servers",222 days 1 hour 5 minutes,SQL-server (unclassified),sql-server (1433/tcp),3398897.6066945605,101542066,110137,"Jun 30, 2017 4:04:50 PM",12050389,11.8674,89491677,57505,1433
,10.1.68.132,PA-HERSHEY-DTACTR,10.1.70.26,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 14 minutes,Undefined TCP,Undefined TCP (1527/tcp),2977472.2343096235,88951983,279223,"Dec 17, 2017 7:55:00 AM",37839546,42.5393,51112437,61548,1527
,10.1.70.223,"PA-HERSHEY-DTACTR, DB Servers",10.1.70.202,"PA-HERSHEY-DTACTR, DB Servers",80 days 16 hours 45 minutes,Undefined TCP,Undefined TCP (30103/tcp),2954338.1422594143,88260852,78101,"Nov 18, 2017 11:24:14 PM",81593,0.0924,88179259,52969,30103
,10.1.73.58,"PA-HERSHEY-DTACTR, Mail Servers",10.2.73.23,"Mail Servers, NJ-HADDON-DTACTR",106 days 48 minutes,Undefined TCP,notes-rpc (1352/tcp),2974791.088607595,88128186,76166,"Oct 24, 2017 4:21:12 PM",4376494,4.9661,83751692,62600,1352
,10.1.69.148,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 36 minutes,Undefined TCP,Undefined TCP (30015/tcp),2696315.112970711,80552414,99353,"Dec 17, 2017 7:33:09 AM",18464738,22.9226,62087676,38025,30015
,10.1.69.164,PA-HERSHEY-DTACTR,10.1.70.202,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 30 minutes,Undefined TCP,Undefined TCP (30015/tcp),2690000.937238494,80363778,126905,"Dec 17, 2017 7:39:19 AM",19110480,23.78,61253298,18444,30015
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.64.34,PA-HERSHEY-NONPROD,91 days 15 hours 8 minutes,Undefined TCP,Undefined TCP (49154/tcp),3636463.352601156,78638520,194053,"Nov 8, 2017 1:00:48 AM",1473638,1.8739,77164882,51989,49154
,10.1.68.150,PA-HERSHEY-DTACTR,10.1.70.232,"PA-HERSHEY-DTACTR, DB Servers",137 days 2 hours 35 minutes,SQL-server (unclassified),sql-server (1433/tcp),2436186.2761506275,72781065,81077,"Sep 23, 2017 2:34:59 PM",35214477,48.3841,37566588,49194,1433
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.70.25,"PA-HERSHEY-NONPROD, DB Servers",91 days 15 hours 8 minutes,Undefined TCP,Undefined TCP (49154/tcp),2283625.3054393306,68223306,162409,"Nov 8, 2017 1:01:30 AM",1861982,2.7292,66361324,54269,49154
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.66.152,PA-HERSHEY-NONPROD,91 days 15 hours 8 minutes,Undefined TCP,Undefined TCP (49154/tcp),2125379.1464435146,63495702,151157,"Nov 8, 2017 1:01:28 AM",1745644,2.7492,61750058,54077,49154
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.66.18,PA-HERSHEY-NONPROD,91 days 15 hours 6 minutes,Undefined TCP,Undefined TCP (60003/tcp),2113784.1021276596,62092408,147817,"Nov 8, 2017 1:03:07 AM",1681276,2.7077,60411132,60876,60003
,10.1.66.13,PA-HERSHEY-DTACTR,10.1.70.155,"PA-HERSHEY-DTACTR, DB Servers",448 days 1 hour 14 minutes,SQL-server (unclassified),sql-server (1433/tcp),2064523.4811715481,61677639,58867,"Nov 16, 2016 2:55:44 PM",1122653,1.8202,60554986,50785,1433
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.66.139,PA-HERSHEY-NONPROD,91 days 15 hours 9 minutes,Undefined TCP,Undefined TCP (49154/tcp),2037659.6150627616,60875081,144920,"Nov 8, 2017 1:00:45 AM",1666517,2.7376,59208564,51905,49154
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.66.158,PA-HERSHEY-NONPROD,91 days 15 hours 9 minutes,Undefined TCP,Undefined TCP (49154/tcp),2017716.0167364017,60279266,143502,"Nov 8, 2017 1:00:50 AM",1628881,2.7022,58650385,51981,49154
,10.1.69.195,PA-HERSHEY-DTACTR,10.1.70.30,"PA-HERSHEY-DTACTR, DB Servers",108 days 15 hours 54 minutes,SQL-server (unclassified),sql-server (1433/tcp),1974440.20083682,58986401,115825,"Oct 22, 2017 1:15:53 AM",10439791,17.6986,48546610,49196,1433
,10.1.69.77,PA-HERSHEY-DTACTR,10.1.70.206,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 26 minutes,Undefined TCP,Undefined TCP (30015/tcp),1955713.1046025106,58426929,84865,"Dec 17, 2017 7:43:19 AM",16294113,27.888,42132816,26344,30015
,10.1.69.92,PA-HERSHEY-DTACTR,10.1.70.87,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 26 minutes,Undefined TCP,Undefined TCP (1527/tcp),1825236.5523012553,54528942,56231,"Dec 17, 2017 7:43:03 AM",35458131,65.0263,19070811,61979,1527
,10.1.69.134,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 36 minutes,Undefined TCP,Undefined TCP (30015/tcp),1798909.1548117155,53742411,56240,"Dec 17, 2017 7:33:31 AM",6216692,11.5676,47525719,51594,30015
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.68.53,PA-HERSHEY-NONPROD,124 days 16 hours 37 minutes,Undefined TCP,Undefined TCP (49154/tcp),1675059.8493723848,50042413,119134,"Oct 6, 2017 12:32:39 AM",1415891,2.8294,48626522,62522,49154
"babyj, meschkj",10.1.68.210,PA-HERSHEY-DTACTR,10.1.70.230,"PA-HERSHEY-DTACTR, DB Servers",128 days 7 hours 38 minutes,SQL-server (unclassified),sql-server (1433/tcp),1564001.3389121338,46724540,124321,"Oct 2, 2017 9:31:12 AM",24649570,52.7551,22074970,53149,1433
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.90.89.26,OFFICE,124 days 16 hours 37 minutes,Undefined TCP,Undefined TCP (49154/tcp),1473438.6382978724,43282260,44720,"Oct 6, 2017 12:32:07 AM",867120,2.0034,42415140,60326,49154
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.68.89,PA-HERSHEY-NONPROD,91 days 15 hours 9 minutes,Undefined TCP,Undefined TCP (49154/tcp),1411743.1631799163,42175827,102703,"Nov 8, 2017 1:00:50 AM",655555,1.5543,41520272,51988,49154
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.68.64,PA-HERSHEY-NONPROD,91 days 15 hours 9 minutes,Undefined TCP,Undefined TCP (49154/tcp),1414039.5213675213,41360656,98458,"Nov 8, 2017 1:00:46 AM",1145472,2.7695,40215184,51929,49154
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.66.52,PA-HERSHEY-NONPROD,91 days 15 hours 8 minutes,Undefined TCP,Undefined TCP (49154/tcp),1378794.309623431,41191480,98057,"Nov 8, 2017 1:01:30 AM",1165815,2.8302,40025665,54243,49154
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.100.14,PA-HERSHEY-NONPROD,124 days 16 hours 37 minutes,Undefined TCP,Undefined TCP (49154/tcp),1370257.8410041842,40936453,97451,"Oct 6, 2017 12:32:01 AM",1220986,2.9826,39715467,59827,49154
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.100.111,PA-HERSHEY-NONPROD,91 days 15 hours 8 minutes,Undefined TCP,Undefined TCP (49154/tcp),1528581.5327102803,40889556,100657,"Nov 8, 2017 1:00:59 AM",831744,2.0341,40057812,52370,49154
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.100.115,PA-HERSHEY-NONPROD,91 days 15 hours 9 minutes,Undefined TCP,Undefined TCP (49154/tcp),1353731.2133891212,40442720,96276,"Nov 8, 2017 1:00:46 AM",1201392,2.9706,39241328,51967,49154
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.100.114,PA-HERSHEY-NONPROD,91 days 15 hours 8 minutes,Undefined TCP,Undefined TCP (49154/tcp),1535116.2352941176,39145464,93186,"Nov 8, 2017 1:01:08 AM",1130248,2.8873,38015216,52711,49154
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.66.82,PA-HERSHEY-NONPROD,59 days 18 hours 22 minutes,Undefined TCP,Undefined TCP (49154/tcp),1220254.8619246862,36455114,86772,"Dec 9, 2017 9:47:51 PM",1095955,3.0063,35359159,50239,49154
,10.1.68.140,PA-HERSHEY-DTACTR,10.1.70.214,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 26 minutes,Undefined TCP,Undefined TCP (30015/tcp),1172733.121338912,35035402,46694,"Dec 17, 2017 7:43:55 AM",6230782,17.7842,28804620,49907,30015
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.68.105,PA-HERSHEY-NONPROD,91 days 15 hours 9 minutes,Undefined TCP,Undefined TCP (49154/tcp),1091222.5606694561,32600274,26042,"Nov 8, 2017 1:00:59 AM",1683602,5.1644,30916672,52354,49154
,192.234.148.250,NAT Gateway,192.234.148.13,Catch All,100 days 10 hours 47 minutes,HTTPS (unclassified),https (443/tcp),1074652.0167364017,32105229,76331,"Oct 30, 2017 6:22:27 AM",0,0,32105229,42565,443
,10.1.68.55,PA-HERSHEY-DTACTR,10.1.70.214,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 36 minutes,Undefined TCP,Undefined TCP (30015/tcp),1070016.4351464435,31966741,43623,"Dec 17, 2017 7:33:58 AM",5580075,17.4559,26386666,34969,30015
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.69.58,PA-HERSHEY-NONPROD,91 days 15 hours 9 minutes,Undefined TCP,Undefined TCP (49154/tcp),1048877.2552301255,31335208,74588,"Nov 8, 2017 1:00:49 AM",922463,2.9439,30412745,51959,49154
,10.1.100.149,PA-HERSHEY-DTACTR,10.1.69.62,PA-HERSHEY-DTACTR,52 days 8 hours 10 minutes,Undefined TCP,Undefined TCP (8024/tcp),1038564.7866108787,31027123,25934,"Dec 17, 2017 7:59:54 AM",420188,1.3543,30606935,9999,8024
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.70.170,"PA-HERSHEY-NONPROD, DB Servers",91 days 15 hours 9 minutes,Undefined TCP,Undefined TCP (49154/tcp),1020140.7531380753,30476705,76295,"Nov 8, 2017 1:00:56 AM",676689,2.2203,29800016,52223,49154
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.66.94,PA-HERSHEY-NONPROD,91 days 15 hours 7 minutes,Undefined TCP,Undefined TCP (49154/tcp),1339027.163841808,29625976,70526,"Nov 8, 2017 1:01:05 AM",812888,2.7438,28813088,52871,49154
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.6.66.71,PA-HERSHEY-NONPROD,91 days 15 hours 8 minutes,Undefined TCP,Undefined TCP (49154/tcp),1184562.2857142857,29021776,69084,"Nov 8, 2017 1:00:47 AM",794912,2.739,28226864,51936,49154
,10.1.69.65,PA-HERSHEY-DTACTR,10.1.70.206,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 26 minutes,Undefined TCP,Undefined TCP (30015/tcp),884284.3849372385,26417996,41713,"Dec 17, 2017 7:43:20 AM",10506356,39.7697,15911640,58024,30015
,10.1.73.65,"PA-HERSHEY-DTACTR, Mail Servers",10.1.70.150,"PA-HERSHEY-DTACTR, DB Servers",91 days 17 hours 56 minutes,SQL-server (unclassified),sql-server (1433/tcp),836676.5523012553,24995712,29086,"Nov 7, 2017 10:13:27 PM",4050936,16.2065,20944776,1108,1433
,10.1.68.79,PA-HERSHEY-DTACTR,10.1.70.214,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 26 minutes,Undefined TCP,Undefined TCP (30015/tcp),808469.9916317991,24153041,25992,"Dec 17, 2017 7:43:33 AM",2968465,12.2902,21184576,19781,30015
,10.1.74.84,"Security, PA-HERSHEY-DTACTR",10.2.64.10,"Domain Controllers, DNS Servers, NJ-HADDON-DTACTR",52 days 11 hours 28 minutes,Undefined TCP,Undefined TCP (49154/tcp),1237808.5677419354,23982541,19845,"Dec 17, 2017 4:40:09 AM",192272,0.8017,23790269,51926,49154
,10.1.69.26,PA-HERSHEY-DTACTR,10.1.70.206,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 26 minutes,Undefined TCP,Undefined TCP (30015/tcp),802171.849372385,23964884,45592,"Dec 17, 2017 7:43:12 AM",10024186,41.8286,13940698,62056,30015
,10.1.10.98,PA-HERSHEY-DTACTR,50.235.241.90,United States,56 days 13 hours 40 minutes,Undefined UDP,Undefined UDP (4500/udp),789081.0711297072,23573797,85614,"Dec 13, 2017 2:29:12 AM",13593755,57.6647,9980042,4500,4500
,10.1.68.144,PA-HERSHEY-DTACTR,10.1.70.214,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 25 minutes,Undefined TCP,Undefined TCP (30015/tcp),781880.4686192469,23358679,30521,"Dec 17, 2017 7:44:19 AM",4859892,20.8055,18498787,39908,30015
,10.1.10.218,PA-HERSHEY-DTACTR,50.235.241.90,United States,57 days 13 hours 32 minutes,Undefined UDP,Undefined UDP (4500/udp),736791.5313807531,22011647,99089,"Dec 12, 2017 2:37:25 AM",14236061,64.6751,7775586,4500,4500
,10.6.74.42,PA-HERSHEY-NONPROD,10.1.74.165,"Security, PA-HERSHEY-DTACTR",231 days 6 hours 49 minutes,Undefined TCP,Undefined TCP (5671/tcp),724178.4435146444,21634831,59785,"Jun 21, 2017 10:20:43 AM",2083662,9.6311,19551169,43944,5671
