"Logged_At","RADIUS_Status","Identity","Endpoint_ID","Endpoint_Profile","Authorization_Rule","Server","Network_Device","Device_Type","Location","Network_Device_IP","Device_Port","Event","Service_Type","Authentication_Protocol","Credential_Check","Failure_Reason","MapLocation",
"2018-03-26 22:14:16.447","1","murphyc","28:16:AD:C4:94:DD","Windows10-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:13:32.52","1","victorr","C4:D9:87:5F:90:6F","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:11:54.013","1","forcindj","14:AB:C5:73:9D:26","Windows10-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:09:09.557","1","fiscusja","44:39:C4:18:D0:96","Windows7-Vista-2008","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:07:00.165","1","hartmalm","7C:5C:F8:9F:AE:CA","Windows10-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:04:50.64","1","passmoro","44:39:C4:19:54:FE","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:04:35.615","1","aww\hoerrwr","C4:D9:87:17:8F:4F","Windows10-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:04:12.115","1","johnsdj","14:AB:C5:D2:55:96","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:03:36.821","1","bowlbyjs","F4:96:34:25:02:56","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","haddon-dc-nj-vpn01","All Device Types#Firewalls#ASA","All Locations#Production#DR Site","10.2.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:00:54.814","1","aww\hoerrwr","C4:D9:87:17:8F:4F","Windows10-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:59:30.819","1","aww\hoerrwr","C4:D9:87:17:8F:4F","Windows10-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:58:24.372","1","hearnj","B8:08:CF:F5:7C:FB","Windows10-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:55:37.895","1","rotkowhj","90:61:AE:48:B0:E3","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:54:46.913","1","thornde","80:81:B6:53:50:42","Windows10-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:53:16.552","1","packj","A8:13:74:3C:65:F3","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:50:37.477","1","couchdj","02:00:4C:4F:4F:50","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:47:45.605","1","dixonro","10:4A:7D:C2:CE:8C","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:46:58.267","1","baetzeel","E4:B3:18:3E:F4:1D","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:43:15.156","1","shrewsj1","E4:B3:18:6B:24:FC","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:42:43.736","1","aprajsv","24:77:03:48:A5:94","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:41:25.237","1","thielcj","34:F6:4B:B3:5B:5F","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:38:13.951","1","keanekt","E4:A4:71:19:3F:B1","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:37:23.974","1","saldidm","8C:70:5A:D9:64:D8","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:34:19.803","1","ARMBRUSL","AC:FD:CE:27:FE:FC","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:30:47.627","1","bozmanjg","F0:1F:AF:6E:F6:B5","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:30:06.582","1","eppensj","E4:A4:71:3C:0E:B5","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:29:37.689","1","mcintyj","14:AB:C5:19:B7:CF","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:26:27.02","1","bridwelc","10:02:B5:9C:79:6C","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:23:51.015","1","carbonjl","90:61:AE:54:FC:A9","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:23:07.67","1","greenta","80:00:0B:95:B9:33","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:18:53.866","1","dietzmdp","7C:5C:F8:B8:E5:16","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:12:57.741","1","carrernm","F0:D5:BF:D9:04:E0","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:12:42.825","1","deluhem","44:39:C4:18:F5:86","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:09:42.372","1","michala","80:00:0B:8A:06:C4","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:09:06.661","1","sledgeca","E4:A4:71:BE:78:37","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:07:48.09","1","brownj4","DC:53:60:9C:03:60","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:06:13.633","1","johnsos2","AC:ED:5C:36:75:0E","Windows10-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:04:07.061","1","mensini","F8:63:3F:49:0C:2D","Windows10-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 21:03:59.15","1","prawdzj","60:57:18:D6:02:40","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 20:58:39.998","1","macekmj","B8:8A:60:7C:71:5D","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 20:55:21.801","1","woodbuka","24:77:03:6C:E2:3C","Windows7-Vista-2008","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 20:53:35.82","1","coxjw","48:45:20:39:15:39","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 20:53:27.966","1","JONESJD","8C:C1:21:A1:33:AD","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 20:49:12.849","1","richarp","90:61:AE:48:AC:A1","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 20:47:36.831","1","havenswa","C4:D9:87:49:9B:E8","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 20:47:10.115","1","wingosw","F8:59:71:BD:95:16","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 20:45:26.571","1","simpsos1","F8:59:71:22:60:6E","Windows10-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 20:42:55.328","1","douglas2","48:51:B7:A5:51:72","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 20:42:16.531","1","bishopj1","7C:5C:F8:BB:6E:76","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 20:40:49.249","1","markwatf","C4:D9:87:79:17:60","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 20:39:56.617","1","krohnse","1C:4D:70:40:F3:62","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 20:39:38.502","1","TOWERSr","10:02:B5:48:95:4A","Windows7-Vista-2008","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 20:39:29.269","1","boulwaw","28:16:AD:98:59:2C","Windows10-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
